,Stock Invested in,Sector,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty
0,Indian Hotels Company Limited,Hotels/resorts,16728.7,4.89%,0.14%,4.89% (Aug 2022),2.43% (Sep 2021),5.86 Cr,0.00
1,Bharat Electronics Ltd.,Industrial electronics,15938,4.66%,0.02%,5.3% (Jun 2022),4.41% (Sep 2021),5.20 Cr,-0.28 Cr
2,Cholamandalam Investment & Finance Co. Ltd.,Nbfc,14952.1,4.37%,0.27%,6.13% (Feb 2022),4.1% (Jul 2022),1.89 Cr,-0.92 L
3,Hindustan Aeronautics Ltd.,Airlines,14488.4,4.23%,0.29%,4.52% (Jun 2022),1.11% (Sep 2021),63.12 L,0.00
4,Max Healthcare Institute Ltd.,Hospital,13380.4,3.91%,0.15%,4.3% (Apr 2022),2.86% (Oct 2021),3.45 Cr,14.18 L
5,Sundram Fasteners Ltd.,Fastener,10999.1,3.21%,-0.11%,3.98% (Sep 2021),3.21% (Aug 2022),1.32 Cr,1.70 L
6,Crompton Greaves Consumer Electricals Ltd.,Home appliances,10835.7,3.17%,-0.06%,3.23% (Jul 2022),2.4% (Mar 2022),2.66 Cr,0.00
7,Balkrishna Industries Ltd.,Tyres & allied,10020.7,2.93%,-0.56%,5.28% (Sep 2021),2.93% (Aug 2022),48.98 L,0.00
8,SKF India Ltd.,Bearings,9691.2,2.83%,0.42%,2.83% (Aug 2022),1.85% (Sep 2021),19.96 L,1.55 L
9,Max Financial Services Ltd.,Nbfc,9465.8,2.77%,-0.23%,3.1% (Sep 2021),2.34% (Apr 2022),1.15 Cr,1.61 L
10,Tata Communications Ltd.,Telecom - services,9240.6,2.70%,0.46%,2.7% (Aug 2022),0% (Sep 2021),76.86 L,7.36 L
11,Apollo Tyres Limited,Tyres & allied,8576.8,2.51%,0.22%,2.51% (Aug 2022),1.96% (Mar 2022),3.41 Cr,3.00 L
12,Ipca Laboratories Ltd.,Pharmaceuticals,8419.8,2.46%,-0.30%,3.08% (Sep 2021),2.46% (Aug 2022),93.02 L,3.32 L
13,Shriram Transport Finance Co. Ltd.,Nbfc,8065.5,2.36%,-0.17%,2.53% (Jul 2022),1.52% (Mar 2022),59.54 L,0.00
14,Federal Bank Ltd.,Banks,7385.9,2.16%,0.09%,2.16% (Aug 2022),1.33% (Sep 2021),6.31 Cr,0.00
15,Aarti Industries Ltd.,Chemicals - speciality,7362.5,2.15%,0.02%,4.06% (Sep 2021),2.13% (Jul 2022),88.63 L,0.00
